name,price,owner,driven km,transmission,fuel,body type,mileage,engine cc,max power bhp,wheel size inches,no of seats
Volkswagen Polo HIGHLINE1.2L DIESEL 2012,"₹ 2,70,000",Second Owner,120000 Km,Manual,Diesel,Hatchback,22 Kmpl,1199 cc,74 bhp,15'',5 Seater
Hyundai Creta S 1.5 Petrol BS6 2020,"₹ 12,15,000",First Owner,8000 Km,Manual,Petrol,SUV,16.8 kmpl,1497 cc,113 bhp,16 inch,5 Seater
Honda City VX i-DTEC 2017,"₹ 9,00,000",First Owner,45000 Km,Manual,Diesel,Sedan,26 kmpl,1498 cc,99 bhp,15 inch,5 Seater
Skoda Fabia ELEGANCE 1.2 TDI 2012,"₹ 3,50,000",First Owner,66000 Km,Manual,Diesel,Hatchback,15.9 kmpl,1199 cc,75bhp,14 Inch,5 Seater
Volkswagen Vento Highline Diesel 2013,"₹ 3,60,000",First Owner,39000 Km,Manual,Diesel,Sedan,20.5 kmpl,1598 cc,103 bhp,15 inches,5 Seater
Skoda Octavia Active 1.4 TSI 2015,"₹ 6,89,991",First Owner,52072 Km,Manual,Petrol,Sedan,16.8 kmpl,1395 cc,138 bhp,16 Inch,5 Seater
Toyota Camry Hybrid 2017,"₹ 22,00,000",First Owner,65000 Km,Automatic,Petrol,Sedan,19.16 kmpl,2494 cc,158 bhp,17 Inch,5 Seater
Audi A6 2.0 TDI 2014,"₹ 17,76,500",First Owner,50000 Km,Automatic,Diesel,Sedan,16.66 kmpl,1968 cc,177 bhp,17 inches,5 Seater
Mercedes-Benz S-Class 500 L 2010,"₹ 19,99,000",First Owner,42000 Km,Automatic,Petrol,Sedan,7.81 kmpl,5461 cc,368 bhp,18 inch,5 Seater
Mitsubishi Pajero Sport 4X4 2015,"₹ 13,85,000",First Owner,59000 Km,Automatic,Diesel,SUV,11.5kmpl,2477 cc,175.6 Bhp,17'',5 Seater
Ford Aspire Titanium 1.2 Ti-VCT 2019,"₹ 5,19,999",First Owner,20000 Km,Manual,Petrol,Sedan,19.16 kmpl,1194 cc,95 bhp,15 Inches,5 Seater
Hyundai Aura SX 1.2 Petrol 2020,"₹ 6,99,000",First Owner,10374 Km,Manual,Petrol,Sedan,20.5 kmpl,1197 cc,82 bhp,15 inch,5 Seater
Skoda Octavia 2.0 TDI CR AT Style Plus 2017,"₹ 12,95,000",First Owner,57000 Km,Automatic,Diesel,Sedan,19.3 kmpl,1968 cc,141 bhp,16 Inch,5 Seater
Honda City VX i-DTEC Opt 2015,"₹ 5,00,000",First Owner,53000 Km,Manual,Diesel,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Honda City VX i-DTEC 2018,"₹ 9,35,000",First Owner,46000 Km,Manual,Diesel,Sedan,26 kmpl,1498 cc,99 bhp,15 inch,5 Seater
Renault Duster 85 PS RXL 2015,"₹ 5,00,000",First Owner,42000 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Toyota Corolla Altis D 4D G 2012,"₹ 7,25,000",First Owner,2500 Km,Manual,Diesel,Sedan,18.4kmpl,1364 cc,87.2bhp,15 Inch,5 Seater
Toyota Innova Crysta 2.4 G 7 STR 2016,"₹ 10,80,000",First Owner,30000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
BMW 7 Series 730Ld 2015,"₹ 36,04,000",Second Owner,28000 Km,Automatic,Diesel,Sedan,11.1 kmpl,2993 cc,262 bhp,17 Inch,5 Seater
Honda City VX i-DTEC Opt 2016,"₹ 6,50,000",First Owner,38000 Km,Manual,Diesel,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
