,owner,driven km,transmission,fuel,body type,engine cc,max power bhp,wheel size inches,no of seats,mileage kmpl,price in rupee,purchase year,company
0,2,120000,0,1,1,1199,74,15,5,22.0,270000,2012,Volkswagen
1,1,8000,0,2,2,1497,113,16,5,16.8,1215000,2020,Hyundai
2,1,45000,0,1,3,1498,99,15,5,26.0,900000,2017,Honda
3,1,66000,0,1,1,1199,75,14,5,15.9,350000,2012,Skoda
4,1,39000,0,1,3,1598,103,15,5,20.5,360000,2013,Volkswagen
5,1,52072,0,2,3,1395,138,16,5,16.8,689991,2015,Skoda
6,1,65000,1,2,3,2494,158,17,5,19.1,2200000,2017,Toyota
7,1,50000,1,1,3,1968,177,17,5,16.6,1776500,2014,Audi
8,1,42000,1,2,3,5461,368,18,5,7.8,1999000,2010,Mercedes-Benz
9,1,59000,1,1,2,2477,175,17,5,11.5,1385000,2015,Mitsubishi
10,1,20000,0,2,3,1194,95,15,5,19.1,519999,2019,Ford
11,1,10374,0,2,3,1197,82,15,5,20.5,699000,2020,Hyundai
12,1,57000,1,1,3,1968,141,16,5,19.3,1295000,2017,Skoda
13,1,53000,0,1,3,1497,117,15,5,17.8,500000,2015,Honda
14,1,46000,0,1,3,1498,99,15,5,26.0,935000,2018,Honda
15,1,42000,0,1,2,1461,108,16,5,19.6,500000,2015,Renault
16,1,2500,0,1,3,1364,87,15,5,18.4,725000,2012,Toyota
17,1,30000,0,1,4,2393,148,16,7,15.1,1080000,2016,Toyota
18,2,28000,1,1,3,2993,262,17,5,11.1,3604000,2015,BMW
19,1,38000,0,1,3,1497,117,15,5,17.8,650000,2016,Honda
20,1,38000,0,1,4,1498,98,15,7,24.5,535000,2014,Honda
21,1,58000,0,1,2,1498,110,15,5,18.8,865000,2018,Ford
22,1,49000,1,2,2,2398,187,17,5,8.7,685000,2012,Honda
23,1,9000,0,2,4,1462,103,15,6,18.0,989999,2020,Maruti
24,1,35000,0,1,4,1497,121,16,8,17.6,1292600,2019,Mahindra
25,1,31844,0,1,3,1248,88,15,5,26.2,599991,2016,Maruti
26,1,11000,0,2,1,1197,81,14,5,18.9,429999,2017,Hyundai
27,1,41000,0,1,2,1498,110,15,5,18.8,653000,2016,Ford
28,1,38000,0,1,3,1968,138,16,5,19.3,438000,2012,Volkswagen
29,1,23000,0,1,2,1461,108,16,5,19.6,550000,2014,Renault
30,1,55000,1,2,2,1991,194,17,5,13.5,5000000,2020,Mercedes-Benz
31,1,4800,0,1,4,2755,172,16,7,14.2,2500000,2019,Toyota
32,1,4500,0,2,1,1197,83,14,5,20.4,600000,2015,Maruti
33,1,5500,0,2,1,1197,82,14,5,18.6,800000,2017,Hyundai
34,1,21000,0,1,3,1248,74,14,5,28.4,710000,2018,Maruti
35,1,25000,0,1,1,1396,89,14,5,22.5,549529,2015,Hyundai
36,1,64533,0,1,2,2982,169,17,5,11.9,1775000,2014,Toyota
37,1,12000,1,1,3,2143,170,17,5,19.2,4391000,2020,Mercedes-Benz
38,2,53000,0,2,1,1198,74,15,5,16.0,475000,2015,Volkswagen
39,1,65000,0,1,4,2393,148,16,7,15.1,1550000,2017,Toyota
40,1,58965,1,1,2,2755,174,18,7,14.2,2800000,2015,Toyota
41,1,48633,1,1,2,2982,169,17,5,12.5,1775000,2014,Toyota
42,2,65890,1,1,2,2982,169,17,5,12.5,1775000,2014,Toyota
43,1,7300,1,1,2,1950,192,18,5,18.1,6386000,2020,Mercedes-Benz
44,1,28000,0,2,1,999,67,13,5,23.0,235000,2016,Renault
45,2,26118,0,2,3,1497,117,15,5,17.4,615000,2015,Honda
46,1,8475,1,2,2,1199,118,16,5,16.0,1197249,2020,Tata
47,2,59000,0,2,3,1599,103,14,5,10.7,210000,2007,Hyundai
48,2,77000,1,2,1,1197,80,13,5,17.0,350000,2011,Hyundai
49,1,18000,0,2,2,998,118,16,5,18.2,1200000,2019,Hyundai
50,1,58000,0,1,1,1248,74,14,5,25.2,625000,2017,Maruti
51,1,92000,0,2,1,796,47,12,5,19.7,160000,2010,Maruti
52,1,55000,0,1,3,1248,74,14,5,26.5,450000,2016,Maruti
53,1,31650,0,1,3,1248,88,15,5,28.0,675000,2016,Maruti
54,2,71000,1,2,3,1497,117,15,5,18.0,525000,2013,Honda
55,1,25000,0,2,1,1197,83,15,5,21.4,674000,2020,Maruti
56,1,20000,0,1,2,2498,105,16,6,13.0,927000,2019,Mahindra
57,1,35000,0,2,1,1198,87,14,5,18.9,450000,2017,Honda
58,1,16845,1,2,3,1497,113,16,5,18.4,1391501,2020,Hyundai
59,1,37498,0,1,2,1493,114,17,5,20.0,1507030,2019,Kia
60,1,65000,1,1,2,2982,169,17,7,12.5,2650000,2017,Toyota
61,1,56000,0,2,1,1197,81,14,5,19.7,670000,2019,Hyundai
62,1,65000,0,3,1,998,58,13,5,26.6,300000,2014,Maruti
63,1,65000,0,3,1,998,58,13,5,26.6,224000,2011,Maruti
64,1,75000,0,3,1,998,58,13,5,26.6,211000,2010,Maruti
